Category,Metric,N,Data mean [95% CI],GAIL mean [95% CI],GAIL - Data [95% CI],Absolute error,Clips Data/GAIL
Predator,Normalized predator distance,16,"0.057 [0.054, 0.060]","0.100 [0.098, 0.102]","0.043 [0.039, 0.046]",0.043,30/30
Predator,Normalized predator distance,32,"0.057 [0.055, 0.059]","0.069 [0.068, 0.070]","0.011 [0.009, 0.014]",0.011,30/30
Predator,Pursuit alignment,16,"0.878 [0.869, 0.887]","0.012 [-0.003, 0.026]","-0.866 [-0.883, -0.849]",0.866,30/30
Predator,Pursuit alignment,32,"0.851 [0.843, 0.859]","0.022 [0.012, 0.032]","-0.829 [-0.842, -0.816]",0.829,30/30
Prey,Escape alignment,16,"0.329 [0.316, 0.345]","-0.022 [-0.025, -0.018]","-0.351 [-0.368, -0.337]",0.351,30/30
Prey,Escape alignment,32,"0.266 [0.259, 0.272]","-0.019 [-0.021, -0.016]","-0.285 [-0.292, -0.278]",0.285,30/30
Prey,Continuous prey reorientation R,16,"-0.043 [-0.044, -0.042]","-0.069 [-0.070, -0.068]","-0.026 [-0.027, -0.025]",0.026,30/30
Prey,Continuous prey reorientation R,32,"-0.042 [-0.043, -0.042]","-0.070 [-0.071, -0.069]","-0.028 [-0.029, -0.027]",0.028,30/30
Collective,"Degree of Swarm (DoS), T-common",16,"0.055 [0.052, 0.058]","0.101 [0.100, 0.101]","0.045 [0.043, 0.049]",0.045,30/30
Collective,"Degree of Swarm (DoS), T-common",32,"0.043 [0.041, 0.044]","0.069 [0.069, 0.069]","0.026 [0.025, 0.028]",0.026,30/30
Collective,"Degree of Alignment (DoA), T-common",16,"0.870 [0.860, 0.879]","0.637 [0.633, 0.641]","-0.232 [-0.244, -0.223]",0.232,30/30
Collective,"Degree of Alignment (DoA), T-common",32,"0.845 [0.839, 0.853]","0.637 [0.634, 0.640]","-0.208 [-0.216, -0.201]",0.208,30/30
