category,metric,n_prey,data_n,data_mean,data_ci_low,data_ci_high,gail_n,gail_mean,gail_ci_low,gail_ci_high,gail_minus_data,difference_ci_low,difference_ci_high,absolute_imitation_error
Predator,Normalized predator distance,16,8,0.09309464367106557,0.03380528851994313,0.15003074388077947,30,0.1340342255930106,0.12087234087909261,0.1478871357565125,0.04093958192194502,-0.014463172950199794,0.09466408777050672,0.04093958192194502
Predator,Normalized predator distance,32,35,0.18842005133628845,0.16208080406699862,0.2183995657573853,30,0.11071655228734016,0.10088105674212178,0.12178616249933838,-0.07770349904894829,-0.10776220601850321,-0.04871083871239707,0.07770349904894829
Predator,Pursuit alignment,16,8,0.43912757001817226,0.1733758809976281,0.6886350446846334,30,0.009496049270577107,-0.021210798668568398,0.04182967570881979,-0.42963152074759514,-0.6794128743310285,-0.16020433516450197,0.42963152074759514
Predator,Pursuit alignment,32,35,0.07252290892813887,-0.02173314312739031,0.16046946019865568,30,0.016034297897325207,-0.012195850162534043,0.04418504849614691,-0.056488611030813665,-0.15632254246988886,0.04140600715106949,0.056488611030813665
Prey,Escape alignment,16,8,0.2993539604358375,0.12752857994055375,0.4739577545900829,30,0.016269701765850186,-0.0027479963035633146,0.03435766806593163,-0.2830842586699873,-0.4527729978082546,-0.0949619865731803,0.2830842586699873
Prey,Escape alignment,32,35,0.06499378814228944,0.01459761564486795,0.11526406895502338,30,-0.011835381831042468,-0.029493072076196156,0.004924148489177845,-0.0768291699733319,-0.12894569789752405,-0.021932722533182732,0.0768291699733319
Prey,Continuous prey reorientation R,16,8,-0.003252469206927344,-0.007279723562533036,0.0007078550668666095,30,-0.007193395759289464,-0.0075323657555660855,-0.006838206563843414,-0.0039409265523621196,-0.008178785236329226,0.0002292312340675025,0.0039409265523621196
Prey,Continuous prey reorientation R,32,25,0.0008267824101494625,-0.0008582268238533288,0.002613649319842807,30,-0.006527659778172771,-0.006871709893845643,-0.006173769749778633,-0.007354442188322234,-0.009255438787911165,-0.0056961998488647345,0.007354442188322234
Collective,"Degree of Swarm (DoS), T-common",16,5,0.04023798032399805,0.02785651129595736,0.05583759048844085,30,0.062154524894879465,0.05787993378999498,0.06601128933932997,0.021916544570881415,0.006826938881112173,0.034589695185065966,0.021916544570881415
Collective,"Degree of Swarm (DoS), T-common",32,19,0.030250529481830424,0.027284013626612345,0.03331942332644684,30,0.05141014516114551,0.049445458159179376,0.05332554244403122,0.021159615679315086,0.01740361266922767,0.024950771478115016,0.021159615679315086
Collective,"Degree of Alignment (DoA), T-common",16,5,0.8387553834341427,0.7930682292596541,0.8844425376086311,30,0.8378380712393984,0.8223692144571725,0.8527160905148842,-0.0009173121947443352,-0.04797055054369658,0.04757604806340309,0.0009173121947443352
Collective,"Degree of Alignment (DoA), T-common",32,19,0.836296457456529,0.8186597594212822,0.8540000863853489,30,0.8134098611307228,0.7999522185503587,0.8271187246950765,-0.022886596325806252,-0.046098477517278455,-0.000511175870073415,0.022886596325806252
