Category,Metric,N,Data mean [95% CI],GAIL mean [95% CI],GAIL - Data [95% CI],Absolute error,Clips Data/GAIL
Predator,Normalized predator distance,16,"0.093 [0.034, 0.150]","0.134 [0.121, 0.148]","0.041 [-0.014, 0.095]",0.041,8/30
Predator,Normalized predator distance,32,"0.188 [0.162, 0.218]","0.111 [0.101, 0.122]","-0.078 [-0.108, -0.049]",0.078,35/30
Predator,Pursuit alignment,16,"0.439 [0.173, 0.689]","0.009 [-0.021, 0.042]","-0.430 [-0.679, -0.160]",0.430,8/30
Predator,Pursuit alignment,32,"0.073 [-0.022, 0.160]","0.016 [-0.012, 0.044]","-0.056 [-0.156, 0.041]",0.056,35/30
Prey,Escape alignment,16,"0.299 [0.128, 0.474]","0.016 [-0.003, 0.034]","-0.283 [-0.453, -0.095]",0.283,8/30
Prey,Escape alignment,32,"0.065 [0.015, 0.115]","-0.012 [-0.029, 0.005]","-0.077 [-0.129, -0.022]",0.077,35/30
Prey,Continuous prey reorientation R,16,"-0.003 [-0.007, 0.001]","-0.007 [-0.008, -0.007]","-0.004 [-0.008, 0.000]",0.004,8/30
Prey,Continuous prey reorientation R,32,"0.001 [-0.001, 0.003]","-0.007 [-0.007, -0.006]","-0.007 [-0.009, -0.006]",0.007,25/30
Collective,"Degree of Swarm (DoS), T-common",16,"0.040 [0.028, 0.056]","0.062 [0.058, 0.066]","0.022 [0.007, 0.035]",0.022,5/30
Collective,"Degree of Swarm (DoS), T-common",32,"0.030 [0.027, 0.033]","0.051 [0.049, 0.053]","0.021 [0.017, 0.025]",0.021,19/30
Collective,"Degree of Alignment (DoA), T-common",16,"0.839 [0.793, 0.884]","0.838 [0.822, 0.853]","-0.001 [-0.048, 0.048]",0.001,5/30
Collective,"Degree of Alignment (DoA), T-common",32,"0.836 [0.819, 0.854]","0.813 [0.800, 0.827]","-0.023 [-0.046, -0.001]",0.023,19/30
