metric,source,case,T_common_step,T_common_time,case_last_supported_step,required_clips,complete_prefix_clips,original_clips,complete_prefix_fraction
dos,couzin,couzin_expert_16,999,499.5,999,15,30,30,1.0
dos,couzin,couzin_expert_32,999,499.5,999,15,30,30,1.0
dos,couzin,couzin_imitation_16,999,499.5,999,15,30,30,1.0
dos,couzin,couzin_imitation_32,999,499.5,999,15,30,30,1.0
dos,biological,bio_expert_16,186,12.4,186,4,5,8,0.625
dos,biological,bio_expert_32,186,12.4,213,18,19,35,0.5428571701049805
dos,biological,bio_imitation_16,186,12.4,999,15,30,30,1.0
dos,biological,bio_imitation_32,186,12.4,999,15,30,30,1.0
doa,couzin,couzin_expert_16,999,499.5,999,15,30,30,1.0
doa,couzin,couzin_expert_32,999,499.5,999,15,30,30,1.0
doa,couzin,couzin_imitation_16,999,499.5,999,15,30,30,1.0
doa,couzin,couzin_imitation_32,999,499.5,999,15,30,30,1.0
doa,biological,bio_expert_16,186,12.4,186,4,5,8,0.625
doa,biological,bio_expert_32,186,12.4,213,18,19,35,0.5428571701049805
doa,biological,bio_imitation_16,186,12.4,999,15,30,30,1.0
doa,biological,bio_imitation_32,186,12.4,999,15,30,30,1.0
