Category,Metric,N,Data mean [95% CI],GAIL mean [95% CI],GAIL - Data [95% CI],Absolute error,Clips Data/GAIL
Predator,Normalized predator distance,16,"0.075 [0.075, 0.075]","0.106 [0.106, 0.106]","0.031 [0.031, 0.031]",0.031,1/1
Predator,Normalized predator distance,32,"0.150 [0.150, 0.150]","0.094 [0.094, 0.094]","-0.056 [-0.056, -0.056]",0.056,1/1
Predator,Pursuit alignment,16,"0.766 [0.766, 0.766]","0.122 [0.122, 0.122]","-0.644 [-0.644, -0.644]",0.644,1/1
Predator,Pursuit alignment,32,"0.509 [0.509, 0.509]","-0.013 [-0.013, -0.013]","-0.523 [-0.523, -0.523]",0.523,1/1
Prey,Escape alignment,16,"0.149 [0.149, 0.149]","-0.015 [-0.015, -0.015]","-0.164 [-0.164, -0.164]",0.164,1/1
Prey,Escape alignment,32,"0.214 [0.214, 0.214]","-0.006 [-0.006, -0.006]","-0.221 [-0.221, -0.221]",0.221,1/1
Prey,Continuous prey reorientation R,16,"-0.035 [-0.035, -0.035]","-0.086 [-0.086, -0.086]","-0.051 [-0.051, -0.051]",0.051,1/1
Prey,Continuous prey reorientation R,32,"-0.030 [-0.030, -0.030]","-0.082 [-0.082, -0.082]","-0.052 [-0.052, -0.052]",0.052,1/1
Collective,"Degree of Swarm (DoS), T-common",16,"0.072 [0.072, 0.072]","0.105 [0.105, 0.105]","0.033 [0.033, 0.033]",0.033,1/1
Collective,"Degree of Swarm (DoS), T-common",32,"0.051 [0.051, 0.051]","0.062 [0.062, 0.062]","0.012 [0.012, 0.012]",0.012,1/1
Collective,"Degree of Alignment (DoA), T-common",16,"0.760 [0.760, 0.760]","0.627 [0.627, 0.627]","-0.133 [-0.133, -0.133]",0.133,1/1
Collective,"Degree of Alignment (DoA), T-common",32,"0.766 [0.766, 0.766]","0.663 [0.663, 0.663]","-0.103 [-0.103, -0.103]",0.103,1/1
