category,metric,n_prey,data_n,data_mean,data_ci_low,data_ci_high,gail_n,gail_mean,gail_ci_low,gail_ci_high,gail_minus_data,difference_ci_low,difference_ci_high,absolute_imitation_error
Predator,Normalized predator distance,16,8,0.09309463331010193,0.035146340343635535,0.13791229074122383,1,0.09292173385620117,0.09292173385620117,0.09292173385620117,-0.00017289945390075445,-0.03819050833408254,0.042426890484057365,0.00017289945390075445
Predator,Normalized predator distance,32,35,0.18842004175697055,0.1665672148338386,0.22023374496293918,1,0.04112950712442398,0.04112950712442398,0.04112950712442398,-0.14729053463254657,-0.16440160443740232,-0.1242772245353886,0.14729053463254657
Predator,Pursuit alignment,16,8,0.43912755511701107,0.24372316771186892,0.7099857536610216,1,0.3136390745639801,0.3136390745639801,0.3136390745639801,-0.12548848055303097,-0.34273453950881955,0.06898643909953532,0.12548848055303097
Predator,Pursuit alignment,32,35,0.07252290658652782,-0.015562137325427352,0.17308155578028933,1,-0.1273500919342041,-0.1273500919342041,-0.1273500919342041,-0.19987299852073193,-0.282891637164035,-0.09687506420670881,0.19987299852073193
Prey,Escape alignment,16,8,0.2993539781309664,0.07587311251554639,0.41687290975824,1,0.6602079272270203,0.6602079272270203,0.6602079272270203,0.36085394909605384,0.20643217889592053,0.5518738012411631,0.36085394909605384
Prey,Escape alignment,32,35,0.06499378638608115,0.010258070343573195,0.12455179049766486,1,0.0031436574645340443,0.0031436574645340443,0.0031436574645340443,-0.06185012892154711,-0.10143628330901265,-0.005993331535054118,0.06185012892154711
Prey,Continuous prey reorientation R,16,8,-0.00325246879219776,-0.005519019814346392,0.00010674274053599066,1,-0.008214219473302364,-0.008214219473302364,-0.008214219473302364,-0.004961750681104604,-0.008461138823258807,-0.0015193159146292608,0.004961750681104604
Prey,Continuous prey reorientation R,32,25,0.0008267830108525232,-0.0005683283861581003,0.001909744866046821,1,0.0021629203110933304,0.0021629203110933304,0.0021629203110933304,0.0013361373002408073,1.3571122050052515e-05,0.0020782148697762745,0.0013361373002408073
Collective,"Degree of Swarm (DoS), T-common",16,8,0.03938400078165744,0.03184055020234415,0.04851491720648483,1,0.03684846577899797,0.03684846577899797,0.03684846577899797,-0.0025355350026594753,-0.010052067948106142,0.006233003634427275,0.0025355350026594753
Collective,"Degree of Swarm (DoS), T-common",32,32,0.029206166359862045,0.026593418476841182,0.0317148840153199,1,0.049057294854096004,0.049057294854096004,0.049057294854096004,0.01985112849423396,0.017621447426250336,0.022523335353471337,0.01985112849423396
Collective,"Degree of Alignment (DoA), T-common",16,8,0.855411330291203,0.814648097067007,0.9135474352378931,1,0.8992498125348772,0.8992498125348772,0.8992498125348772,0.04383848224367426,-0.002858913253460581,0.05847499823463814,0.04383848224367426
Collective,"Degree of Alignment (DoA), T-common",32,32,0.8467151038348675,0.8312916203122586,0.8625206027712141,1,0.8514212165560041,0.8514212165560041,0.8514212165560041,0.004706112721136635,-0.013803117312490905,0.012538548384660023,0.004706112721136635
